pokemonId,dexNumber,name,speciesName,identifier,formIdentifier,isDefaultForm,sprite,ocrAliases
1,1,Bulbasaur,Bulbasaur,bulbasaur,,True,1.png,Bulbasaur | bulbasaur
2,2,Ivysaur,Ivysaur,ivysaur,,True,2.png,Ivysaur | ivysaur
3,3,Venusaur,Venusaur,venusaur,,True,3.png,Venusaur | venusaur
4,4,Charmander,Charmander,charmander,,True,4.png,Charmander | charmander
5,5,Charmeleon,Charmeleon,charmeleon,,True,5.png,Charmeleon | charmeleon
6,6,Charizard,Charizard,charizard,,True,6.png,Charizard | charizard
7,7,Squirtle,Squirtle,squirtle,,True,7.png,Squirtle | squirtle
8,8,Wartortle,Wartortle,wartortle,,True,8.png,Wartortle | wartortle
9,9,Blastoise,Blastoise,blastoise,,True,9.png,Blastoise | blastoise
10,10,Caterpie,Caterpie,caterpie,,True,10.png,Caterpie | caterpie
11,11,Metapod,Metapod,metapod,,True,11.png,Metapod | metapod
12,12,Butterfree,Butterfree,butterfree,,True,12.png,Butterfree | butterfree
13,13,Weedle,Weedle,weedle,,True,13.png,Weedle | weedle
14,14,Kakuna,Kakuna,kakuna,,True,14.png,Kakuna | kakuna
15,15,Beedrill,Beedrill,beedrill,,True,15.png,Beedrill | beedrill
16,16,Pidgey,Pidgey,pidgey,,True,16.png,Pidgey | pidgey
17,17,Pidgeotto,Pidgeotto,pidgeotto,,True,17.png,Pidgeotto | pidgeotto
18,18,Pidgeot,Pidgeot,pidgeot,,True,18.png,Pidgeot | pidgeot
19,19,Rattata,Rattata,rattata,,True,19.png,Rattata | rattata
20,20,Raticate,Raticate,raticate,,True,20.png,Raticate | raticate
21,21,Spearow,Spearow,spearow,,True,21.png,Spearow | spearow
22,22,Fearow,Fearow,fearow,,True,22.png,Fearow | fearow
23,23,Ekans,Ekans,ekans,,True,23.png,Ekans | ekans
24,24,Arbok,Arbok,arbok,,True,24.png,Arbok | arbok
25,25,Pikachu,Pikachu,pikachu,,True,25.png,Pikachu | pikachu
26,26,Raichu,Raichu,raichu,,True,26.png,Raichu | raichu
27,27,Sandshrew,Sandshrew,sandshrew,,True,27.png,Sandshrew | sandshrew
28,28,Sandslash,Sandslash,sandslash,,True,28.png,Sandslash | sandslash
29,29,Nidoran♀,Nidoran♀,nidoran-f,,True,29.png,Nidoran♀ | nidoran f | nidoran-f
30,30,Nidorina,Nidorina,nidorina,,True,30.png,Nidorina | nidorina
31,31,Nidoqueen,Nidoqueen,nidoqueen,,True,31.png,Nidoqueen | nidoqueen
32,32,Nidoran♂,Nidoran♂,nidoran-m,,True,32.png,Nidoran♂ | nidoran m | nidoran-m
33,33,Nidorino,Nidorino,nidorino,,True,33.png,Nidorino | nidorino
34,34,Nidoking,Nidoking,nidoking,,True,34.png,Nidoking | nidoking
35,35,Clefairy,Clefairy,clefairy,,True,35.png,Clefairy | clefairy
36,36,Clefable,Clefable,clefable,,True,36.png,Clefable | clefable
37,37,Vulpix,Vulpix,vulpix,,True,37.png,Vulpix | vulpix
38,38,Ninetales,Ninetales,ninetales,,True,38.png,Ninetales | ninetales
39,39,Jigglypuff,Jigglypuff,jigglypuff,,True,39.png,Jigglypuff | jigglypuff
40,40,Wigglytuff,Wigglytuff,wigglytuff,,True,40.png,Wigglytuff | wigglytuff
41,41,Zubat,Zubat,zubat,,True,41.png,Zubat | zubat
42,42,Golbat,Golbat,golbat,,True,42.png,Golbat | golbat
43,43,Oddish,Oddish,oddish,,True,43.png,Oddish | oddish
44,44,Gloom,Gloom,gloom,,True,44.png,Gloom | gloom
45,45,Vileplume,Vileplume,vileplume,,True,45.png,Vileplume | vileplume
46,46,Paras,Paras,paras,,True,46.png,Paras | paras
47,47,Parasect,Parasect,parasect,,True,47.png,Parasect | parasect
48,48,Venonat,Venonat,venonat,,True,48.png,Venonat | venonat
49,49,Venomoth,Venomoth,venomoth,,True,49.png,Venomoth | venomoth
50,50,Diglett,Diglett,diglett,,True,50.png,Diglett | diglett
51,51,Dugtrio,Dugtrio,dugtrio,,True,51.png,Dugtrio | dugtrio
52,52,Meowth,Meowth,meowth,,True,52.png,Meowth | meowth
53,53,Persian,Persian,persian,,True,53.png,Persian | persian
54,54,Psyduck,Psyduck,psyduck,,True,54.png,Psyduck | psyduck
55,55,Golduck,Golduck,golduck,,True,55.png,Golduck | golduck
56,56,Mankey,Mankey,mankey,,True,56.png,Mankey | mankey
57,57,Primeape,Primeape,primeape,,True,57.png,Primeape | primeape
58,58,Growlithe,Growlithe,growlithe,,True,58.png,Growlithe | growlithe
59,59,Arcanine,Arcanine,arcanine,,True,59.png,Arcanine | arcanine
60,60,Poliwag,Poliwag,poliwag,,True,60.png,Poliwag | poliwag
61,61,Poliwhirl,Poliwhirl,poliwhirl,,True,61.png,Poliwhirl | poliwhirl
62,62,Poliwrath,Poliwrath,poliwrath,,True,62.png,Poliwrath | poliwrath
63,63,Abra,Abra,abra,,True,63.png,Abra | abra
64,64,Kadabra,Kadabra,kadabra,,True,64.png,Kadabra | kadabra
65,65,Alakazam,Alakazam,alakazam,,True,65.png,Alakazam | alakazam
66,66,Machop,Machop,machop,,True,66.png,Machop | machop
67,67,Machoke,Machoke,machoke,,True,67.png,Machoke | machoke
68,68,Machamp,Machamp,machamp,,True,68.png,Machamp | machamp
69,69,Bellsprout,Bellsprout,bellsprout,,True,69.png,Bellsprout | bellsprout
70,70,Weepinbell,Weepinbell,weepinbell,,True,70.png,Weepinbell | weepinbell
71,71,Victreebel,Victreebel,victreebel,,True,71.png,Victreebel | victreebel
72,72,Tentacool,Tentacool,tentacool,,True,72.png,Tentacool | tentacool
73,73,Tentacruel,Tentacruel,tentacruel,,True,73.png,Tentacruel | tentacruel
74,74,Geodude,Geodude,geodude,,True,74.png,Geodude | geodude
75,75,Graveler,Graveler,graveler,,True,75.png,Graveler | graveler
76,76,Golem,Golem,golem,,True,76.png,Golem | golem
77,77,Ponyta,Ponyta,ponyta,,True,77.png,Ponyta | ponyta
78,78,Rapidash,Rapidash,rapidash,,True,78.png,Rapidash | rapidash
79,79,Slowpoke,Slowpoke,slowpoke,,True,79.png,Slowpoke | slowpoke
80,80,Slowbro,Slowbro,slowbro,,True,80.png,Slowbro | slowbro
81,81,Magnemite,Magnemite,magnemite,,True,81.png,Magnemite | magnemite
82,82,Magneton,Magneton,magneton,,True,82.png,Magneton | magneton
83,83,Farfetch’d,Farfetch’d,farfetchd,,True,83.png,Farfetch’d | farfetchd
84,84,Doduo,Doduo,doduo,,True,84.png,Doduo | doduo
85,85,Dodrio,Dodrio,dodrio,,True,85.png,Dodrio | dodrio
86,86,Seel,Seel,seel,,True,86.png,Seel | seel
87,87,Dewgong,Dewgong,dewgong,,True,87.png,Dewgong | dewgong
88,88,Grimer,Grimer,grimer,,True,88.png,Grimer | grimer
89,89,Muk,Muk,muk,,True,89.png,Muk | muk
90,90,Shellder,Shellder,shellder,,True,90.png,Shellder | shellder
91,91,Cloyster,Cloyster,cloyster,,True,91.png,Cloyster | cloyster
92,92,Gastly,Gastly,gastly,,True,92.png,Gastly | gastly
93,93,Haunter,Haunter,haunter,,True,93.png,Haunter | haunter
94,94,Gengar,Gengar,gengar,,True,94.png,Gengar | gengar
95,95,Onix,Onix,onix,,True,95.png,Onix | onix
96,96,Drowzee,Drowzee,drowzee,,True,96.png,Drowzee | drowzee
97,97,Hypno,Hypno,hypno,,True,97.png,Hypno | hypno
98,98,Krabby,Krabby,krabby,,True,98.png,Krabby | krabby
99,99,Kingler,Kingler,kingler,,True,99.png,Kingler | kingler
100,100,Voltorb,Voltorb,voltorb,,True,100.png,Voltorb | voltorb
101,101,Electrode,Electrode,electrode,,True,101.png,Electrode | electrode
102,102,Exeggcute,Exeggcute,exeggcute,,True,102.png,Exeggcute | exeggcute
103,103,Exeggutor,Exeggutor,exeggutor,,True,103.png,Exeggutor | exeggutor
104,104,Cubone,Cubone,cubone,,True,104.png,Cubone | cubone
105,105,Marowak,Marowak,marowak,,True,105.png,Marowak | marowak
106,106,Hitmonlee,Hitmonlee,hitmonlee,,True,106.png,Hitmonlee | hitmonlee
107,107,Hitmonchan,Hitmonchan,hitmonchan,,True,107.png,Hitmonchan | hitmonchan
108,108,Lickitung,Lickitung,lickitung,,True,108.png,Lickitung | lickitung
109,109,Koffing,Koffing,koffing,,True,109.png,Koffing | koffing
110,110,Weezing,Weezing,weezing,,True,110.png,Weezing | weezing
111,111,Rhyhorn,Rhyhorn,rhyhorn,,True,111.png,Rhyhorn | rhyhorn
112,112,Rhydon,Rhydon,rhydon,,True,112.png,Rhydon | rhydon
113,113,Chansey,Chansey,chansey,,True,113.png,Chansey | chansey
114,114,Tangela,Tangela,tangela,,True,114.png,Tangela | tangela
115,115,Kangaskhan,Kangaskhan,kangaskhan,,True,115.png,Kangaskhan | kangaskhan
116,116,Horsea,Horsea,horsea,,True,116.png,Horsea | horsea
117,117,Seadra,Seadra,seadra,,True,117.png,Seadra | seadra
118,118,Goldeen,Goldeen,goldeen,,True,118.png,Goldeen | goldeen
119,119,Seaking,Seaking,seaking,,True,119.png,Seaking | seaking
120,120,Staryu,Staryu,staryu,,True,120.png,Staryu | staryu
121,121,Starmie,Starmie,starmie,,True,121.png,Starmie | starmie
122,122,Mr. Mime,Mr. Mime,mr-mime,,True,122.png,Mr. Mime | mr mime | mr-mime
123,123,Scyther,Scyther,scyther,,True,123.png,Scyther | scyther
124,124,Jynx,Jynx,jynx,,True,124.png,Jynx | jynx
125,125,Electabuzz,Electabuzz,electabuzz,,True,125.png,Electabuzz | electabuzz
126,126,Magmar,Magmar,magmar,,True,126.png,Magmar | magmar
127,127,Pinsir,Pinsir,pinsir,,True,127.png,Pinsir | pinsir
128,128,Tauros,Tauros,tauros,,True,128.png,Tauros | tauros
129,129,Magikarp,Magikarp,magikarp,,True,129.png,Magikarp | magikarp
130,130,Gyarados,Gyarados,gyarados,,True,130.png,Gyarados | gyarados
131,131,Lapras,Lapras,lapras,,True,131.png,Lapras | lapras
132,132,Ditto,Ditto,ditto,,True,132.png,Ditto | ditto
133,133,Eevee,Eevee,eevee,,True,133.png,Eevee | eevee
134,134,Vaporeon,Vaporeon,vaporeon,,True,134.png,Vaporeon | vaporeon
